person_id,wave,duration_months,event,age,sex,edu_level,occupation_raw,firm_size,emp_status,income_now,satis_stability,satis_growth
100054,3,75.0,0,30.0,2.0,4.0,,3.0,1.0,216.66666666666666,4.0,3.0
100055,4,110.0,0,31.0,2.0,4.0,,5.0,1.0,250.0,4.0,3.0
100056,4,75.0,0,29.0,2.0,4.0,,6.0,1.0,225.0,4.0,3.0
100057,3,75.0,0,27.0,2.0,3.0,,3.0,1.0,233.33333333333334,3.0,3.0
100060,3,74.0,0,30.0,2.0,4.0,,5.0,1.0,250.0,4.0,3.0
100062,1,48.0,1,27.0,2.0,4.0,,5.0,1.0,208.33333333333334,4.0,4.0
100062,4,15.0,0,30.0,2.0,4.0,,3.0,1.0,225.0,3.0,4.0
100063,3,75.0,0,28.0,2.0,4.0,,6.0,1.0,291.6666666666667,3.0,3.0
100067,4,15.0,0,30.0,1.0,4.0,,1.0,1.0,233.33333333333334,3.0,4.0
100070,2,28.0,1,27.0,1.0,4.0,,4.0,1.0,275.0,3.0,4.0
100070,4,7.0,0,29.0,1.0,4.0,,3.0,1.0,333.3333333333333,4.0,4.0
100071,3,37.0,1,25.0,2.0,4.0,,4.0,1.0,233.33333333333334,4.0,3.0
100071,4,3.0,0,26.0,2.0,4.0,0.0,4.0,1.0,250.0,4.0,4.0
100073,4,22.0,0,29.0,1.0,4.0,,6.0,1.0,283.3333333333333,4.0,4.0
100074,3,45.0,1,28.0,1.0,4.0,,5.0,1.0,283.3333333333333,3.0,3.0
100074,4,5.0,0,29.0,1.0,4.0,0.0,5.0,1.0,416.6666666666667,4.0,4.0
100075,4,27.0,0,31.0,2.0,5.0,,6.0,2.0,152.075,4.0,4.0
100078,4,106.0,0,31.0,2.0,3.0,,2.0,1.0,375.0,4.0,4.0
100079,4,37.0,0,31.0,2.0,2.0,,3.0,1.0,416.6666666666667,4.0,4.0
100080,4,29.0,0,31.0,1.0,4.0,,2.0,1.0,375.0,4.0,4.0
100084,4,33.0,0,30.0,2.0,3.0,,1.0,1.0,230.0,4.0,3.0
100085,4,77.0,0,28.0,1.0,2.0,,2.0,1.0,260.0,3.0,3.0
100087,1,1.0,0,26.0,2.0,2.0,,2.0,1.0,250.0,4.0,4.0
100089,1,7.0,1,23.0,2.0,4.0,,1.0,2.0,120.0,3.0,3.0
100089,2,21.0,1,24.0,2.0,4.0,6.0,7.0,1.0,400.0,4.0,5.0
100089,4,4.0,0,26.0,2.0,4.0,4.0,6.0,1.0,400.0,4.0,3.0
100091,4,32.0,0,22.0,2.0,2.0,,1.0,2.0,78.21,3.0,3.0
100092,3,39.0,0,22.0,2.0,2.0,,2.0,1.0,200.0,4.0,3.0
100093,4,31.0,0,29.0,1.0,4.0,,6.0,1.0,333.3333333333333,3.0,4.0
100094,1,24.0,1,22.0,2.0,2.0,,1.0,1.0,200.0,4.0,3.0
100094,2,3.0,0,23.0,2.0,2.0,5.0,2.0,1.0,220.0,4.0,4.0
100096,1,36.0,1,26.0,2.0,4.0,,6.0,2.0,54.3125,3.0,3.0
100096,4,15.0,0,29.0,2.0,4.0,,4.0,2.0,150.0,3.0,3.0
100097,4,18.0,0,31.0,1.0,4.0,,1.0,5.0,700.0,5.0,5.0
100098,4,1.0,0,30.0,1.0,2.0,,1.0,1.0,300.0,4.0,4.0
100099,4,9.0,0,28.0,1.0,2.0,,3.0,1.0,220.0,4.0,4.0
100104,4,36.0,0,29.0,1.0,4.0,,4.0,1.0,333.3333333333333,4.0,4.0
100107,4,1.0,0,22.0,2.0,2.0,,1.0,3.0,167.19559999999998,3.0,3.0
100111,2,0.0,0,22.0,2.0,2.0,,4.0,2.0,159.2008,3.0,3.0
100115,1,13.0,0,26.0,1.0,2.0,,1.0,2.0,151.5536,2.0,2.0
100116,4,32.0,0,30.0,2.0,2.0,,1.0,1.0,200.0,4.0,3.0
100118,4,90.0,0,31.0,2.0,4.0,,8.0,1.0,458.3333333333333,4.0,5.0
100119,4,80.0,0,30.0,1.0,4.0,,5.0,1.0,408.3333333333333,4.0,4.0
