year,industry,ksic_section,owner_group,item,value
2021,전체,전체,60대,신생,144232.0
2021,전체,전체,60대,소멸,136701.0
2021,전체,전체,60대,신생률,9.3
2021,전체,전체,60대,소멸률,8.8
2022,전체,전체,60대,활동,1657318.0
2022,전체,전체,60대,신생,143706.0
2022,전체,전체,60대,소멸,141378.0
2022,전체,전체,60대,신생률,8.7
2022,전체,전체,60대,소멸률,8.5
2023,전체,전체,60대,활동,1740629.0
2023,전체,전체,60대,신생,132611.0
2023,전체,전체,60대,소멸,147764.0
2023,전체,전체,60대,신생률,7.6
2023,전체,전체,60대,소멸률,8.5
2024,전체,전체,60대,활동,1815568.0
2024,전체,전체,60대,신생,135314.0
2024,전체,전체,60대,신생률,7.5
2011,전체,전체,70대 이상,활동,257320.0
2011,전체,전체,70대 이상,신생,17673.0
2011,전체,전체,70대 이상,소멸,28321.0
2011,전체,전체,70대 이상,신생률,6.9
2011,전체,전체,70대 이상,소멸률,11.0
2012,전체,전체,70대 이상,활동,291865.0
2012,전체,전체,70대 이상,신생,18356.0
2012,전체,전체,70대 이상,소멸,38949.0
2012,전체,전체,70대 이상,신생률,6.3
2012,전체,전체,70대 이상,소멸률,13.3
2013,전체,전체,70대 이상,활동,305656.0
2013,전체,전체,70대 이상,신생,17692.0
2013,전체,전체,70대 이상,소멸,35671.0
2013,전체,전체,70대 이상,신생률,5.8
2013,전체,전체,70대 이상,소멸률,11.7
2014,전체,전체,70대 이상,활동,329371.0
2014,전체,전체,70대 이상,신생,23975.0
2014,전체,전체,70대 이상,소멸,63682.0
2014,전체,전체,70대 이상,신생률,7.3
2014,전체,전체,70대 이상,소멸률,19.3
2015,전체,전체,70대 이상,활동,315538.0
2015,전체,전체,70대 이상,신생,22243.0
2015,전체,전체,70대 이상,소멸,37710.0
2015,전체,전체,70대 이상,신생률,7.0
2015,전체,전체,70대 이상,소멸률,12.0
2016,전체,전체,70대 이상,활동,339628.0
2016,전체,전체,70대 이상,신생,27202.0
2016,전체,전체,70대 이상,소멸,36380.0
2016,전체,전체,70대 이상,신생률,8.0
2016,전체,전체,70대 이상,소멸률,10.7
2017,전체,전체,70대 이상,활동,379660.0
2017,전체,전체,70대 이상,신생,30586.0
2017,전체,전체,70대 이상,소멸,45667.0
2017,전체,전체,70대 이상,신생률,8.1
2017,전체,전체,70대 이상,소멸률,12.0
2018,전체,전체,70대 이상,활동,412664.0
2018,전체,전체,70대 이상,신생,30855.0
2018,전체,전체,70대 이상,소멸,45341.0
2018,전체,전체,70대 이상,신생률,7.5
2018,전체,전체,70대 이상,소멸률,11.0
2019,전체,전체,70대 이상,활동,456523.0
