year,industry,ksic_section,item,value
2020,도매 및 소매업,G,소멸률,12.0
2021,도매 및 소매업,G,활동,1531041.0
2021,도매 및 소매업,G,신생,230829.0
2021,도매 및 소매업,G,소멸,181040.0
2021,도매 및 소매업,G,신생률,15.1
2021,도매 및 소매업,G,소멸률,11.8
2022,도매 및 소매업,G,활동,1578452.0
2022,도매 및 소매업,G,신생,230019.0
2022,도매 및 소매업,G,소멸,192724.0
2022,도매 및 소매업,G,신생률,14.6
2022,도매 및 소매업,G,소멸률,12.2
2023,도매 및 소매업,G,활동,1617335.0
2023,도매 및 소매업,G,신생,234276.0
2023,도매 및 소매업,G,소멸,209680.0
2023,도매 및 소매업,G,신생률,14.5
2023,도매 및 소매업,G,소멸률,13.0
2024,도매 및 소매업,G,활동,1631734.0
2024,도매 및 소매업,G,신생,230146.0
2024,도매 및 소매업,G,신생률,14.1
2011,운수 및 창고업,H,활동,539808.0
2011,운수 및 창고업,H,신생,43700.0
2011,운수 및 창고업,H,소멸,34975.0
2011,운수 및 창고업,H,신생률,8.1
2011,운수 및 창고업,H,소멸률,6.5
2012,운수 및 창고업,H,활동,546684.0
2012,운수 및 창고업,H,신생,42841.0
2012,운수 및 창고업,H,소멸,41785.0
2012,운수 및 창고업,H,신생률,7.8
2012,운수 및 창고업,H,소멸률,7.6
2013,운수 및 창고업,H,활동,546832.0
2013,운수 및 창고업,H,신생,41754.0
2013,운수 및 창고업,H,소멸,34467.0
2013,운수 및 창고업,H,신생률,7.6
2013,운수 및 창고업,H,소멸률,6.3
2014,운수 및 창고업,H,활동,556920.0
2014,운수 및 창고업,H,신생,44821.0
2014,운수 및 창고업,H,소멸,69046.0
2014,운수 및 창고업,H,신생률,8.0
2014,운수 및 창고업,H,소멸률,12.4
2015,운수 및 창고업,H,활동,520338.0
2015,운수 및 창고업,H,신생,44064.0
2015,운수 및 창고업,H,소멸,32670.0
2015,운수 및 창고업,H,신생률,8.5
2015,운수 및 창고업,H,소멸률,6.3
2016,운수 및 창고업,H,활동,536095.0
2016,운수 및 창고업,H,신생,49807.0
2016,운수 및 창고업,H,소멸,30894.0
2016,운수 및 창고업,H,신생률,9.3
2016,운수 및 창고업,H,소멸률,5.8
2017,운수 및 창고업,H,활동,555511.0
2017,운수 및 창고업,H,신생,50804.0
2017,운수 및 창고업,H,소멸,40367.0
2017,운수 및 창고업,H,신생률,9.1
2017,운수 및 창고업,H,소멸률,7.3
2018,운수 및 창고업,H,활동,564646.0
2018,운수 및 창고업,H,신생,49611.0
2018,운수 및 창고업,H,소멸,35105.0
2018,운수 및 창고업,H,신생률,8.8
2018,운수 및 창고업,H,소멸률,6.2
2019,운수 및 창고업,H,활동,591142.0
2019,운수 및 창고업,H,신생,62436.0
