year,emp_type,age_group,시간당임금총액_원,총근로시간_h,월임금총액_만원,월급여액_만원,정액급여_만원,초과급여_만원
2016,정규근로자,50~59세,19565.0,187.5,355.0,310.1,290.6,19.5
2016,정규근로자,60세이상,14831.0,184.8,265.3,249.0,241.3,7.7
2016,정규근로자,전체,18212.0,184.7,328.3,285.0,267.4,17.7
2017,비정규근로자,29세이하,9861.0,116.8,116.6,114.9,107.2,7.7
2017,비정규근로자,30~39세,14694.0,140.5,184.5,179.0,166.8,12.1
2017,비정규근로자,40~49세,15237.0,124.2,168.3,163.6,157.6,6.0
2017,비정규근로자,50~59세,14406.0,121.6,159.8,156.3,151.0,5.4
2017,비정규근로자,60세이상,12193.0,130.1,140.1,138.3,133.8,4.5
2017,비정규근로자,전체,13053.0,125.1,150.6,147.3,140.3,7.0
2017,비정규직근로자(특수형태포함),29세이하,,,122.9,121.3,114.1,7.1
2017,비정규직근로자(특수형태포함),30~39세,,,198.6,194.3,184.8,9.5
2017,비정규직근로자(특수형태포함),40~49세,,,195.2,191.6,187.1,4.5
2017,비정규직근로자(특수형태포함),50~59세,,,181.4,178.3,173.9,4.5
2017,비정규직근로자(특수형태포함),60세이상,,,147.0,145.2,141.1,4.1
2017,비정규직근로자(특수형태포함),전체,,,168.0,165.1,159.3,5.8
2017,전체근로자,29세이하,12179.0,159.5,197.9,183.0,170.0,13.0
2017,전체근로자,30~39세,18280.0,175.8,313.6,275.9,257.3,18.6
2017,전체근로자,40~49세,20279.0,172.1,342.0,299.1,281.4,17.7
2017,전체근로자,50~59세,18923.0,168.2,313.4,277.3,260.4,16.9
